Title,Link
4.15_Budget & Budgeting - Introduction & types of budgets,"https://youtu.be/tyvuxg_imd8 ,https://www.youtube.com/watch?v=uyK_Dv9Bmb4 ,"
4.16_Types of Budgets Part-1,"https://youtu.be/q5TQz8THNC8 ,https://www.youtube.com/watch?v=mkWQVJzbyRs&amp;t=822s ,"
4.17_Types of Budgets Part-2,"https://youtu.be/Iu_yqPAsq_o ,https://www.youtube.com/watch?v=JHVaey2WdPE ,"
4.18_Numerical - CVP Analysis,"https://youtu.be/aXnptlzDjxs ,https://www.youtube.com/watch?v=Nw2IioaF6Lc ,"
4.19_Numerical - Variance Analysis,"https://youtu.be/MbjfPVR4KYQ ,https://www.youtube.com/watch?v=-e32TQdCjDg ,"
4.20_Numerical - Budgets,"https://youtu.be/ZtfhGBcLsdk ,https://www.youtube.com/watch?v=KyzTDcmxh64 ,"
5.1_Financial Modelling - An Introduction,"https://youtu.be/Ud2rJGBxUFM ,"
5.2_Sales & Accounts Receivables Budget,"https://youtu.be/X6eB9GxZB8M ,"
"5.3_COGS, Inventory, Purchases & Accounts Payables Budget","https://youtu.be/FenwbFc_qIc ,"
"5.4_Salaries, Operating Expenses and Capital Budget","https://youtu.be/q-ls7ycPkzY ,"
5.5_Cash Budget,"https://youtu.be/YqmhVCIFXQg ,"
5.6_Income Statement,"https://youtu.be/XfCrboY0cIo ,"
5.7_Balance Sheet,"https://youtu.be/wMXTfb47W0k ,"
5.8_Cash flow statement,"https://youtu.be/nUYxmR1p4qg ,"
5.9_Financial Ratios,"https://youtu.be/mzqUICH4FFE ,"
5.10_CVP Analysis,"https://youtu.be/MxlvJieQz1Y ,"
5.11_Use of Prowess in Finance,"https://youtu.be/PFrwGfsyaCM ,"
5.12_Human Resource Accounting,"https://youtu.be/f5fNQ2yl8IY ,"
5.13_Inflation Accounting,"https://youtu.be/BqcC1-tftQU ,"
5.14_IFRS - Introduction,"https://youtu.be/7mytu-WifyY ,"
5.15_IFRS Framework,"https://youtu.be/pVBSFusr70Y ,"
Syllabus,
Glossary,
1.1.1 - Nature of economic analysis,"https://youtu.be/A01DoFvrJNU ,https://www.youtube.com/watch?v=pWZimiDppKE ,"
1.1.2 - Scope of economic analysis,"https://youtu.be/3ooUhLgY7Mg ,https://www.youtube.com/watch?v=pWZimiDppKE ,"
1.1.3 - Relevance of managerial economics in decision making,"https://youtu.be/slDrhtOvDTU ,https://www.youtube.com/watch?v=xnZop33FjaE ,"
1.1.4 - Demand analysis,"https://youtu.be/UNTpM0-fcwo ,https://www.youtube.com/watch?v=kUPm2tMCbGE ,"
1.1.5 - Individual demand vs. market demand,"https://youtu.be/bwSi9JiGShA ,https://www.youtube.com/watch?v=biFlpaMFW7Q ,"
1.1.6 - Demand by market segmentation,"https://youtu.be/xuGZ_6KdbFk ,https://www.youtube.com/watch?v=0srjdRDh99Y ,"
1.1.7 - Determinants of demand,"https://youtu.be/CHXBApBjZOU ,https://www.youtube.com/watch?v=GwXypq9CR2E ,"
1.1.8 - Demand Elasticities - Perfectly Elastic Demand; Perfectly Inelastic Demand; Relatively Elastic Demand; Relatively Inelastic Demand and Unitary Elastic Demand,"https://youtu.be/VrYCSU8VxIo ,https://www.youtube.com/watch?v=J82_xd5XxXg ,"
"1.1.9 - Concept of elasticity of demand- income, cross, price and advertising elasticity","https://youtu.be/8C6lMYU6oAQ ,https://www.youtube.com/watch?v=MxOMjjf4n1w ,"
1.1.10 - Theorems on the price elasticity of demand,"https://youtu.be/ORzjaDjlUuw ,https://www.youtube.com/watch?v=MxOMjjf4n1w ,"
1.1.11 - Use of demand elasticities in business-decision making,"https://youtu.be/VljwKOeQblU ,https://www.youtube.com/watch?v=34Cvda4TWvI ,"
1.2.1 - Supply vs. Quantity Supplied,"https://youtu.be/wo4cUsPlZnQ ,https://www.youtube.com/watch?v=nNyurWLLtTI ,"
1.2.2 - Supply Function,"https://youtu.be/o4Fl3w5WlH0 ,https://www.youtube.com/watch?v=NpCuj0lMRtQ ,https://www.youtube.com/watch?v=_rF0GUB2MxU ,https://www.youtube.com/watch?v=SA16Qw09bXM ,"
1.2.3 - Determinants of supply of a product,"https://youtu.be/URArx2JzfZs ,https://www.youtube.com/watch?v=vkeP7uzLIew ,"
1.2.4 - Law of supply and Features of Supply curve,"https://youtu.be/JlBHX_7BLIw ,https://www.youtube.com/watch?v=nKvrbOq1OfI ,"
1.2.5 - Elasticity of Supply - Perfect Inelastic Supply; Relatively Inelastic Supply; Unit Elastic Supply; Relatively Elastic Supply and Perfectly Elastic Supply.,"https://youtu.be/plkeLZ8t7L4 ,https://www.youtube.com/watch?v=gguIcyQzSog ,"
1.2.6 - Use of supply elasticities in business-decision making,"https://www.youtube.com/watch?v=eKzagFgbrQg ,https://www.youtube.com/watch?v=pyuOcDjul8s ,"
